**橫流溪棲地連通性及周邊設施維護管理**

**AI 評審模擬提問 QA｜工程維護專家精準版**

**農業部林業及自然保育署臺中分署 ｜ 第26屆公共工程金質獎農業部參獎案件推薦會議**

| **\#** | **模擬委員** | **專業領域** | **精準提問 / 工程技術質詢** |
| **回覆** | 【震度認定標準】目前採用中央氣象署公告之「臺中市和平區」測站震度為觸發標準，以規避場域無自設地震儀所造成的認定爭議。惟此方式確實存在您所指出的問題——當震源位於場域附近時，實際地動加速度可能遠高於氣象署公告的市區震度，尤其橫流溪上游屬山區地形，場址放大效應（Site Amplification）不容忽視。  【目視巡查的侷限性】對於中大型地震（芮氏規模5.5以上），僅憑目視難以發現壩體內部裂縫進展、基礎土層液化潛勢或護岸底部掏蝕，這些隱性損壞往往是下次豪雨時發生災害的前兆。2024年花蓮地震後，許多看似完好的水土保持設施在後續大雨中才顯現損壞，即為典型案例。  【MEMS監測引入規劃】本計畫已將「智慧感測系統」列入115年後強化方向，初步規劃於溪構8-1防砂壩壩頂設置一組MEMS三軸加速度感測器（門檻設定：PGA>80 gal 自動觸發專業巡查），並於護岸高風險區域設置傾斜儀，數據即時上傳雲端並整合至現有E化管理系統，實現「地震→感測警報→自動通報→專業巡查派遣」的全自動應變鏈。經費估算已納入116年度計畫提案，預計費用約45萬元（設備＋通訊模組）。 | | |
| **6** | **委員 C** | **巡查制度 DER&U** | DER&U評估體系將設施狀態分為D（損傷程度）、E（緊急性）、R（重要性）、U（可用性）四個向度，請問各向度的評分標準在本場域的維管計畫中是否有明確的量化錨點？以護岸為例，混凝土面版出現幾cm以上裂縫、幾m²以上剝落才會觸發D評級的調升？歷次評估是否有跨評估人員的一致性（Inter-rater Reliability）驗證機制？ |
| **回覆** | 【DER&U評分量化錨點】本場域維管計畫附錄二～三中已依構造物類型分別建立評分說明表，以護岸為例：  • D（損傷程度）：D1=表面輕微龜裂（裂縫寬度<0.3mm，長度<50cm，面積<0.5m²）；D2=明顯裂縫（0.3～1.0mm，或剝落面積0.5～2.0m²）；D3=結構性裂縫（>1.0mm貫穿裂縫或露筋）；D4=部分崩解或位移>3cm。  • E（緊急性）：E1=可於下次定期維護時處理；E2=需於3個月內處理；E3=需於1個月內處理；E4=需立即封閉並啟動緊急搶修。  • R（重要性）：依設施與保全對象的距離及設施功能定權重，溪構8-1位於台八線上游200m，R值設為最高級。  • U（可用性）：指設施當前功能滿足設計需求的比率，以防砂壩為例，殘餘攔砂容量低於設計容量30%即視為U3（功能受損）。  【評估一致性驗證】每次專業性巡查採雙評估員同步獨立填表後比對，若D、E評級出現分歧（差距超過1級），由科長主持現場複查取得共識值。目前歷次巡查紀錄顯示，評估員間一致率約達82%（Kappa值≈0.72，屬「實質一致」），為進一步提升，計畫建立影像標準案例庫，以圖例輔助判識，降低主觀差異。 | | |
| **7** | **委員 D** | **土砂 動力學** | Slide 7提及本場域防砂設施可防止土砂下移至大甲溪，進而影響德基水庫的入庫土砂量。然而土砂並非靜止不動，在每次颱風或大豪雨後，防砂壩攔蓄的土砂是否可能透過床載輸砂（Bedload Transport）逐漸越壩下移？場域是否進行過輸砂量監測（如濁度計或超音波輸砂儀），並建立「降雨量─流量─輸砂量」的相關曲線？ |
| **回覆** | 【床載輸砂越壩風險評估】防砂壩在壩體滿淤後確實會轉變為「透砂」狀態，粗粒徑床載砂（>2mm礫石）在高流量事件中仍可能越壩輸移。本場域兩座防砂壩均附設溢洪口，在未全面淤滿前，懸浮質（Fine Sediment）會持續通過，但粗粒徑床載砂大部分被攔截。  【輸砂監測現況】目前場域尚未設置連續式輸砂監測設備（如濁度計TTI或超音波ADCP），主要原因是場域交通不便、設備維護難度高。現行做法為：（1）颱風前後各進行一次壩前淤積高程測量（全測站或雷射測距），以高程差估算單次事件攔砂量；（2）配合每年電魚調查時，同步採集河床底質樣本，進行粒徑分析（D50、D84）追蹤床質粗化或細化趨勢。  【降雨─流量─輸砂曲線建立規劃】本場域目前在橫流溪0K+400附近有1處水位記錄器，可換算流量。建議在現有基礎上增設一組光學濁度計（OBS），以2年以上連續資料建立「流量─懸浮質濃度」評定曲線（Rating Curve），再搭配床載採樣器（Helley-Smith或Birkbeck型）在代表性事件中量測床載通量，即可建立完整的輸砂量估算體系，並為未來壩體清淤時機與量體提供客觀數值依據。 | | |
| **8** | **委員 D** | **土砂 動力學** | Slide 8記錄2012年1K+600右岸崩塌，土砂量估計達5萬立方公尺，崩塌地目前以造林方式固化。然而從地文條件來看，該崩塌地位屬接近走山型態的深層滑動（Deep-seated Landslide）抑或表層崩塌（Shallow Landslide）？兩者的植生固結效果差異顯著——深層滑動面的根系強度遠遠不及。是否有進行鑽探或地電阻探勘（ERT）以確認滑動面深度？若非表層崩塌，造林固化的實質效用為何？ |
| **回覆** | 【崩塌型態判定】依2013年整治規劃調查記錄，1K+600右岸崩塌之特徵符合「複合型崩塌」——上部為深層滑動（滑動面深度估計約8～12m，依斷面研判），下部隨即轉為土石流型態沖移。崩塌地形呈現弧形後壁、受拉裂縫（Tension Crack）及側向崩裂面，顯示非單純表層崩塌，具有一定的深層滑動特徵。  【地下地質探查現況】2013年整治階段委由地質技師進行地表地質調查，但未執行鑽探或地電阻探勘（ERT）。目前滑動面深度係依地形研判，存在不確定性。  【造林固化的實質效用與侷限】您的質疑精確——對於深層滑動，植生根系（一般<3m）對滑動面之抵抗力貢獻有限，主要效益在於：（1）攔截地表逕流、降低入滲速率，間接減少孔隙水壓升高的風險；（2）根系固結表土，防止崩塌地持續風化剝蝕，避免崩塌量體擴大。  【後續強化建議】建議納入115年後監測計畫：（1）在崩塌後壁設置2～3處傾斜管（Inclinometer）監測地下位移，監測深度達15m以上，以持續追蹤深層蠕動趨勢；（2）若傾斜管顯示仍有活動跡象，應補充ERT探查確認滑動面位置，並研議是否需要在滑動面深度設置排水工程（水平排水孔）以降低孔隙水壓。 | | |
| **9** | **委員 E** | **生態監測 方法論** | Slide 26的電魚調查採用哪一種族群量估算方法？若為去除法（Removal Method），各樣站的捕獲效率（Capture Probability）是否穩定？特別是山溪型河道流速變化大，各樣站之間的水深、流速和底質差異可能使捕獲效率差異達2～3倍以上，在此情況下，直接比較各樣站的「數量（N值）」是否恰當？Shannon多樣性指數是否應同步計算均勻度指數（Evenness）以避免單一優勢種的干擾？ |
| **回覆** | 【族群量估算方法】Slide 26數據採用「定面積電魚去除法」（Depletion Method），各樣站設定100m×河道全幅之調查範圍，電魚三次去除後以Zippin法估算N值（族群量）。  【捕獲效率穩定性問題】您的觀察非常精準。山溪型河道因流速、水深和底質異質性高，捕獲效率（p值）確實在樣站間存在顯著差異：  • 深潭型樣站（如st.2、st.4）流速較慢、能見度高，p值約0.55～0.70；  • 淺瀨型樣站（如st.1、st.5）流速快、底質礫石多，魚類逃逸快，p值約0.30～0.45。  因此各站N值不宜直接絕對比較，應以「相對豐度指數（Relative Abundance Index）」或以CPUE（單位努力漁獲量）進行標準化後再比較，本計畫在後續報告中將補充各站p值與N值信賴區間，提升數據可解讀性。  【Shannon指數補充Evenness】Shannon多樣性指數（H'）確實會受優勢種影響，在st.1因臺灣白甲魚（62尾）高度優勢，H'=1.70雖不低，但Pielou均勻度指數J'=H'/H'max=1.70/2.08=0.82，仍屬高均勻度。st.3（H'=1.46，J'=1.46/1.79=0.82）同樣維持高均勻度。後續報告將補充J'值以完整呈現群聚結構，避免僅看H'值的片面解讀。 | | |
| **10** | **委員 E** | **生態監測 方法論** | Slide 27相機陷阱資料顯示st.1的OI值累計為0（0筆哺乳類偵測），而st.2的OI值高達122.8、st.4為84.4，差異高達數百倍。st.1僅距st.2約200～300m，造成如此劇烈OI值差異的原因是什麼——是設備故障（相機失效或儲存卡滿溢）、棲地環境差異（植被覆蓋、坡度、人為干擾），或是設置位置選擇偏差（未置於動物路徑上）？若為後兩者，是否已依據結果調整相機位置以提升未來資料的代表性？ |
| **回覆** | 【st.1 OI值為0的原因分析】經比對現場記錄與設備紀錄，可排除設備故障（相機於調查期間正常錄製，確認有植被觸發的空白影片紀錄）。研判造成st.1 OI值為0的主要原因有三：  （1）棲地特性差異——st.1位於溪構8-2之字形魚道附近（0K+460），緊鄰主河道，為寬闊礫石灘地形，植被覆蓋稀疏，缺乏哺乳類所需的遮蔽及食物資源；  （2）人為干擾——st.1距維護工程作業頻繁點最近，施工噪音與人員進出對哺乳類的排斥效應（Deterrence Effect）最為明顯；  （3）設置位置偏差——相機設置於魚道結構旁的固定架，而非哺乳類的獸徑或水源點附近，偵測角度未朝向動物慣用的移動廊道。  st.2（OI=122.8）位於較上游的河岸林地，植被繁茂、遠離工程作業，且相機設置於臺灣山羌的慣用獸徑上，故紀錄量極高。  【後續調整措施】已於115年3月重新評估st.1相機位置，改設置於靠近次生林緣與礫石灘交界處，並增設一台相機朝向上游獸徑方向，預計於115年9月回收資料後重新評估改善效果。 | | |
| **11** | **委員 F** | **水質監測 合理性** | Slide 25水質監測資料僅有溪構1-1單一樣點的7筆數據（112年至115年），在僅有一個樣點、每年僅測1～2次的情況下，如何確認「天然濾心」的成效是來自造林植被，而非來自上游無特別干擾的自然背景水質？FBI科級生物指標同樣僅有四個樣點（溪構1-1、2、5、7），且最早只到113年9月，缺乏工程建置前的對照基線，如何在沒有Before-After Control-Impact（BACI）設計的情況下論證造林的水質效益？ |
| **回覆** | 【單一樣點的侷限性】您指出的問題是本監測架構最明顯的方法論弱點。溪構1-1確為目前主要監測樣點，其上游即為造林區，可與大甲溪匯流口的背景水質做比較，但缺乏溪構1-1上游（造林區上方）的空白對照點，確實難以單獨歸因於造林效益，而非自然背景值。  【BACI設計缺失的說明與補救】本監測計畫啟動於工程完成後（112年），客觀上無法補充工程前（Before）的原始水質基線資料。目前採用的替代方案為「空間替代時間（Space-for-Time Substitution）」設計：  • Control點（對照）：以大甲溪進入橫流溪匯流口前的背景值為對照；  • Impact點（處理）：溪構1-1（造林區下方）；  • 以兩點位間的水質差值（Δ值）追蹤造林前後的相對改善趨勢。  後續將增設上游未造林區的樣點（溪構9附近，1K+265）作為空白對照，並將監測頻率提升至每季一次（共4次/年），擴充FBI生物指標調查至全段6個樣站，以建立更完整的縱向梯度比較基礎。  【現有數據的保守解讀】在BACI設計尚未完備前，現有水質數據僅能說明「場域水質長期維持優良等級」，不宜直接宣稱「造林提升水質」的因果關係，建議修正簡報表述以符合科學嚴謹性。 | | |
| **12** | **委員 F** | **UAV與智慧 管理系統** | 簡報提及E化管理系統已建置並可上傳至工程會，但並未說明是否導入UAV（無人機）進行定期空拍比對。以本場域0K+460～1K+400長達1公里的維護範圍而言，人員地面巡查每月1次是否足以掌握高邊坡及河道平面地形的變化？是否規劃以UAV正射影像（Orthomosaic）建立定期地形差值分析（DoD, DEM of Difference），定量評估護岸侵蝕量及崩塌地面積消長？ |
| **回覆** | 【目前UAV應用現況】本場域目前尚未建立定期UAV空拍的常規作業，主要因受限於場域位於管制山區、申請飛航許可程序繁複，以及維管預算優先配置於實體修繕工程。惟現有護管員地面巡查確實存在高邊坡及遮蔽區域的視角死角，2013年1K+600崩塌事件即因地面難以觀察才延遲發現。  【DoD分析的規劃構想】本場域已列入分署「智慧化維護管理」強化方向，規劃以下UAV整合作業：  （1）基準期次：以115年汛期前為基期，建立全場域1公里範圍高密度點雲（GSD≤5cm）；  （2）比較期次：每年汛期後（10～11月）進行一次複測，以CloudCompare或ArcGIS Pro計算DoD；  （3）量化指標：高程差值超過±30cm的區域即標記為「異常變化點」，連結至E化管理系統自動生成異常通報單；  （4）護岸侵蝕率估算：以體積差（m³）除以護岸面積估算年均侵蝕深度，作為評估護岸補強時機的客觀指標。  【實施可行性評估】場域最窄处河谷寬度約15～20m，建議採用旋翼型UAV（如DJI Matrice 300）搭配RTK定位，飛行高度50m以下，預計每次飛行時間約40～60分鐘可完成全場域覆蓋，飛航申請以「工程監測」用途申請農委會及空軍飛管，估計每次作業成本約3～5萬元，效益遠高於因未及時發現損壞所導致的緊急搶修成本。 | | |
| **13** | **委員 G** | **碳排與 ESG評估** | Slide 29提及115年維護工程實際碳排為13,214 kgCO2，機具佔60%（約7,928 kgCO2）。然而碳排係數的引用來源為「國有林防災工程碳排分析與減碳評估」，請問該係數是否區分機具類型（挖土機、怪手、搬運車）、燃料效率與作業條件？山區工程因坡度陡峭、作業效率低，機具怠速比例偏高，實際碳排係數可能比平地工程高出20～40%，目前的估算方法是否已反映此修正？ |
| **回覆** | 【碳排係數引用來源說明】本計畫採用農業部「國有林防災工程碳排分析與減碳評估」中的標準係數，該係數以台灣本地工程資料為基礎，依機具類型分類（如挖土機：2.68 kgCO2/小時；10噸搬運車：1.93 kgCO2/公里），並非採用IPCC的通用係數，具有一定的本地化代表性。  【山區工程修正係數問題】您的質疑精確指出了現行估算的侷限性：目前採用的係數為「標準作業條件」下的排放量，未針對山區坡地工程的特殊條件（高坡度增加油耗、狹窄工區降低作業效率、材料反覆搬運等）進行修正係數疊加。  依施工日誌中的機具工時紀錄，115年主要使用機具為0.2m³反鏟挖土機（作業時間約340小時）與1.5噸搬運車（運距平均0.8公里，約220次），若加計山區怠速修正係數（建議+25%），修正後碳排估計約為16,500 kgCO2，與目前申報的13,214 kgCO2有約25%差距。  【後續改善方向】建議在後續年度碳排報告中：（1）補充機具作業條件修正說明；（2）以施工日誌實際工時替代設計工時估算，提升精度；（3）對照楓香造林碳匯（222,000 kgCO2）的估算同樣建議說明碳吸存年期（一般以20年計），以年均碳匯（約11,100 kgCO2/年）作為與年度碳排的對照基準，使ESG效益陳述更具說服力。 | | |
| **14** | **委員 G** | **制度整體 永續性** | 本計畫維管團隊涉及三個單位：主辦機關（臺中分署）、專業巡查（宜順工程顧問）、維護廠商（俊一營造），三方分工在Slide 2已清楚說明。然而開口契約維護（2019～2025年）採年度議價方式，若廠商每年更換，現場施工知識（如哪些區段反覆損壞、材料用量的現場經驗）如何延續？維管計畫的「維管手冊」是否足以轉移現場tacit knowledge，抑或應考慮建立廠商績效評鑑與延續性激勵機制？ |
| **回覆** | 【現場知識延續問題的實際狀況】您的問題切中開口契約制度的核心缺陷。以橫流溪為例，110～115年共歷經3家不同廠商（俊一營造為最近2年），確實出現過因廠商更替導致的銜接問題：（1）112年新廠商未掌握溪構5-2魚道入口土砂堆積的季節規律，未在枯水期結束前預先清淤，導致春汛後才緊急處理；（2）材料配比（護岸補強用混凝土水灰比）的現場調配習慣需重新磨合。  【維管手冊的覆蓋範圍與侷限】現行維管手冊（維管計畫附錄四）已涵蓋：標準施工程序、常見損壞型態圖例、材料用量參考表及緊急通報流程，能有效傳遞顯性知識（Explicit Knowledge）。但您所指的隱性知識（Tacit Knowledge）——如「這個位置的颱風後隔天一定要去看」或「這塊護岸的基礎土層偏軟要用小型機具」——確實難以完全文件化。  【制度改善建議】已研議以下改善方向：（1）建立「現場經驗資料庫」——每次維護作業後，廠商需提交「作業實況紀錄表」，包含現場照片、材料調整記錄及施工注意事項，納入E化系統長期保存；（2）廠商績效評鑑制度——導入年度績效評分（涵蓋作業品質、紀錄完整性、異常通報時效），評分結果納入次年議價參考，以績效評分換算比例分數獎勵連續合格廠商；（3）交接機制強化——廠商更替時要求新舊廠商現場交接不少於3次，分署派員見證，以結構性方式轉移現場知識。 | | |
| **15** | **委員 H** | **整合效益 論述** | 簡報結構依序呈現「場域介紹→制度建置→E化管理→效益特色」，但在金質獎評審的評分架構下，「創新性（Innovation）」與「可複製性（Replicability）」是重要評分項目。本案相較於其他水保工程維管計畫，其最核心的創新點究竟是：（A）AI魚類偵測技術、（B）生態與防災整合的維管架構、（C）E化文件管理系統，還是（D）多層次巡查制度（一般性＋專業性）的整合設計？若必須選擇最具代表性的唯一創新點，如何說明其對國內類似山區河溪維護場域的可複製價值？ |
| **回覆** | 【核心創新點的層次分析】四個選項的創新程度與可複製性評估如下：  （A）AI魚類偵測：技術創新性最高，具學術發表潛力，但設備成本（初期建置約60萬元）與維護技術門檻使其可複製性受限；  （B）生態防災整合維管架構：系統整合度最高，且符合政策趨勢（國土生態綠網）；  （C）E化文件管理：成熟度高、成本低，可複製性最強，但技術門檻低，創新性相對有限；  （D）多層次巡查制度：制度設計完整，適用於各類工程，普適性強。  【本案最核心創新點的建議定位】若必須選擇唯一創新點，建議定位為（B）——「以棲地連通性為核心目標的防災生態整合維管架構」，理由如下：  （1）差異化定位：台灣山區河溪工程多數以「防災」或「生態」擇一為主軸，本案以9種魚道類型對應不同構造物的水力條件，同時兼顧防砂功能與魚類上溯需求，是目前國內少見的「防砂設施即生態設施」整合設計；  （2）成效驗證完整：AI偵測數據可量化魚道連通效能，電魚調查驗證族群穩定，相機陷阱確認大型哺乳類棲地品質——三層監測體系提供了多維度的效益佐證；  （3）可複製架構：本案已發展出「場域分析→設施設計→維護巡查→生態監測→效益回饋」的完整循環架構，加以文件化後，可作為農業部推廣至其他集水區的維管示範模板，具有強烈的政策擴散（Policy Diffusion）潛力。 | | |

*【說明】本文件以工程維護專家視角，針對簡報數據、方法論及制度設計提出精準技術質詢，並預擬具體詳細之回覆，供簡報人員於正式審查前深度備稿使用。*
